timestamp,id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2026-05-16 20:08:00.807,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.812,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.817,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.823,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.825,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.829,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.832,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.834,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.837,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.839,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.842,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.846,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.849,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.854,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.856,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.858,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.861,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.866,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.868,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.874,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.876,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.880,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.882,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.885,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.890,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.894,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.900,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.903,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.906,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.917,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.921,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:00.925,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:00.928,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:00.934,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:00.941,6B0,8,00,03,00,96,00,10,01,00
2026-05-16 20:08:00.945,6B1,8,60,18,00,00,01,2C,64,00
2026-05-16 20:08:00.947,6B2,8,01,F4,0F,A0,0F,B4,A0,00
2026-05-16 20:08:00.949,6B4,8,9C,40,10,CC,0E,D8,05,00
2026-05-16 20:08:00.953,6BB,8,07,08,4E,20,00,32,00,00
2026-05-16 20:08:00.958,6BD,8,00,20,FD,E8,09,1A,00,00
2026-05-16 20:08:03.730,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.737,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.742,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.746,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.749,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.753,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.761,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.765,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.768,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.771,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.774,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.776,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.778,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.784,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.787,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.791,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.794,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.796,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.798,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.803,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.807,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.810,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.815,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.819,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.823,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.826,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.830,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.832,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.834,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.836,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.837,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.839,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.844,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.847,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.850,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.854,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:03.856,36,8,01,90,88,00,64,91,50,9C
2026-05-16 20:08:03.858,36,8,02,90,88,00,64,91,50,9D
2026-05-16 20:08:03.862,36,8,03,90,88,00,64,91,50,9E
2026-05-16 20:08:03.866,36,8,04,90,88,00,64,91,50,9F
2026-05-16 20:08:06.712,6B1,8,60,24,00,00,01,2C,64,00
2026-05-16 20:08:06.718,6B0,8,00,03,00,96,00,10,01,00
2026-05-16 20:08:06.727,36,8,01,90,88,00,64,91,50,9C
